dataset,horizon,ticker,model,scheme,n_test,mse,rmse,mae,r2_oos_vs_mean,har_mse,relative_mse_vs_har
MHAR,22,MSFT,NN3,fixed,838,8.14056716484931e-09,9.02250916588579e-05,6.752849839175915e-05,-0.26886316594173865,6.935257070660815e-09,1.1737945806345789
MHAR,22,MSFT,NN3_1,fixed,838,7.890771103891336e-09,8.883001240510628e-05,6.05000197025709e-05,-0.2299276698849626,6.935257070660815e-09,1.137776296321122
MHAR,22,MSFT,NN4,fixed,838,7.75982776860936e-09,8.808988459868341e-05,6.51135468280373e-05,-0.20951764542348728,6.935257070660815e-09,1.1188954770597965
MHAR,22,MSFT,NN4_1,fixed,838,7.730397842975927e-09,8.79226810497492e-05,6.737207634717574e-05,-0.2049304283590656,6.935257070660815e-09,1.1146519536642567
MHAR,22,MSFT,PostLasso,rolling,838,7.1130421498494555e-09,8.433885314521094e-05,5.478051499337951e-05,-0.1087037302151026,6.935257070660815e-09,1.025634965997259
MHAR,22,MSFT,RandomForest,rolling,838,7.664519677163611e-09,8.754724254460337e-05,5.253168866882053e-05,-0.19466205560980687,6.935257070660815e-09,1.1051529307526173
MHAR,22,MSFT,Ridge,rolling,838,7.0486861211337524e-09,8.395645371937616e-05,5.482422171842207e-05,-0.09867261165910746,6.935257070660815e-09,1.016355421193079
MHAR,22,MSFT,SHAR,rolling,838,6.7195630306072655e-09,8.197294084395939e-05,5.30757456185343e-05,-0.04737248008680095,6.935257070660815e-09,0.968898912058209
PARTIAL_MALL,22,AAPL,AdaptiveLasso,rolling,838,2.789730444063686e-08,0.00016702486174410342,0.0001390085494571383,-1.8414317175522132,1.7722984237348575e-08,1.5740748886887461
PARTIAL_MALL,22,AAPL,Bagging,rolling,838,1.3180278702713535e-08,0.0001148053949198971,7.01333918131803e-05,-0.34245450243268105,1.7722984237348575e-08,0.7436828090688047
PARTIAL_MALL,22,AAPL,ElasticNet,rolling,838,2.6407691396081796e-08,0.00016250443500434627,0.00013875480443460413,-1.6897097560026677,1.7722984237348575e-08,1.490025102004632
PARTIAL_MALL,22,AAPL,GradientBoosting,rolling,838,1.556991994068441e-08,0.00012477948525572787,9.4488875919507e-05,-0.585847279738092,1.7722984237348575e-08,0.8785157021058057
PARTIAL_MALL,22,AAPL,HAR,rolling,838,1.7722984237348575e-08,0.00013312769898615607,9.991498208660536e-05,-0.8051439216587815,1.7722984237348575e-08,1.0
PARTIAL_MALL,22,AAPL,HARQ,rolling,838,2.4360836619877646e-08,0.00015607958425072014,0.0001281062962003442,-1.4812309011833542,1.7722984237348575e-08,1.3745335601292685
PARTIAL_MALL,22,AAPL,HARX,rolling,838,2.440685053884201e-08,0.00015622692001970086,0.0001284102255084825,-1.4859175693549136,1.7722984237348575e-08,1.3771298451763092
PARTIAL_MALL,22,AAPL,Lasso,rolling,838,2.6138825740066097e-08,0.00016167506220832604,0.000136473995672157,-1.6623249093989698,1.7722984237348575e-08,1.474854651452117
PARTIAL_MALL,22,AAPL,LevHAR,rolling,838,2.494429004789371e-08,0.00015793761441750887,0.00013085025265948219,-1.540657541474253,1.7722984237348575e-08,1.4074542816173867
PARTIAL_MALL,22,AAPL,LogHAR,rolling,838,1.165883568520025e-08,0.00010797608848814746,7.674037818689029e-05,-0.18749055401215364,1.7722984237348575e-08,0.6578370509764926
PARTIAL_MALL,22,AAPL,NN1,fixed,838,2.5493897088756738e-08,0.000159668084126906,0.00013572173002215763,-1.5966368165121452,1.7722984237348575e-08,1.4384652577319406
PARTIAL_MALL,22,AAPL,NN1_1,fixed,838,3.394908794449881e-08,0.00018425278273203585,0.00014741413407872597,-2.4578256645811707,1.7722984237348575e-08,1.9155401533877188
PARTIAL_MALL,22,AAPL,NN2,fixed,838,3.225584850208566e-08,0.00017959913279881297,0.00016685954012461636,-2.2853636882880477,1.7722984237348575e-08,1.8200009699332247
PARTIAL_MALL,22,AAPL,NN2_1,fixed,838,3.2268999421606096e-08,0.00017963574093594542,0.00016795250855022184,-2.286703152461723,1.7722984237348575e-08,1.820742996182547
PARTIAL_MALL,22,AAPL,NN3,fixed,838,2.989633613508449e-08,0.00017290556999438882,0.00015979745776406132,-2.0450396350512836,1.7722984237348575e-08,1.6868680654854034
PARTIAL_MALL,22,AAPL,NN3_1,fixed,838,2.5245097134642114e-08,0.00015888705779465524,0.00014148362122293995,-1.571295727287874,1.7722984237348575e-08,1.4244269924611113
PARTIAL_MALL,22,AAPL,NN4,fixed,838,2.6872932372407184e-08,0.00016392965678121573,0.00014895882967546118,-1.7370960713812345,1.7722984237348575e-08,1.516275815208166
PARTIAL_MALL,22,AAPL,NN4_1,fixed,838,2.3203992103574535e-08,0.00015232856627558252,0.00013376552500365165,-1.3634025028198256,1.7722984237348575e-08,1.3092598736659453
PARTIAL_MALL,22,AAPL,PostLasso,rolling,838,2.6288776135500995e-08,0.0001621381390527873,0.00013390050695128545,-1.6775978477057825,1.7722984237348575e-08,1.483315438497162
PARTIAL_MALL,22,AAPL,RandomForest,rolling,838,1.2240946922890718e-08,0.00011063881291341984,7.193289461708052e-05,-0.24678048782769157,1.7722984237348575e-08,0.6906820408435915
PARTIAL_MALL,22,AAPL,Ridge,rolling,838,2.855469322982851e-08,0.00016898133988647537,0.00014404430898346736,-1.9083889162431187,1.7722984237348575e-08,1.611167332059897
PARTIAL_MALL,22,AAPL,SHAR,rolling,838,2.4253917157601865e-08,0.00015573669175117938,0.00012812558265426583,-1.4703408041856143,1.7722984237348575e-08,1.3685007464200252
PARTIAL_MALL,22,JPM,AdaptiveLasso,rolling,837,5.25596785979355e-08,0.0002292589771370698,0.0001811727936409767,-8.838103253636406,1.1570453305627072e-08,4.542577305279309
PARTIAL_MALL,22,JPM,Bagging,rolling,837,1.3317524818695537e-08,0.00011540158065943263,5.9776681291931655e-05,-1.492769890231758,1.1570453305627072e-08,1.150994214912808
PARTIAL_MALL,22,JPM,ElasticNet,rolling,837,3.390029963958907e-08,0.00018412034010284977,0.00015323848529529967,-5.345446872587812,1.1570453305627072e-08,2.929902463121501
PARTIAL_MALL,22,JPM,GradientBoosting,rolling,837,1.1601867663583333e-08,0.00010771196620423997,7.190777177781328e-05,-1.1716337514636468,1.1570453305627072e-08,1.002715049888407
PARTIAL_MALL,22,JPM,HAR,rolling,837,1.1570453305627072e-08,0.00010756604160062353,9.055891669628023e-05,-1.1657536223330145,1.1570453305627072e-08,1.0
PARTIAL_MALL,22,JPM,HARQ,rolling,837,3.9331249974875034e-08,0.00019832107798939335,0.00015322834553687477,-6.362010359831306,1.1570453305627072e-08,3.3992834105943817
PARTIAL_MALL,22,JPM,HARX,rolling,837,4.425411609422616e-08,0.00021036662305181912,0.00016411062383172477,-7.28347081160635,1.1570453305627072e-08,3.824752144559799
PARTIAL_MALL,22,JPM,Lasso,rolling,837,5.2526140731682196e-08,0.00022918582140194055,0.000181998746008276,-8.831825646925173,1.1570453305627072e-08,4.539678726860001
PARTIAL_MALL,22,JPM,LevHAR,rolling,836,4.365261429343562e-08,0.00020893208057508932,0.00016328378282034467,-7.164379283079667,1.1570453305627072e-08,3.7727661259568794
PARTIAL_MALL,22,JPM,LogHAR,rolling,837,7.786041541764701e-09,8.823854906878683e-05,5.6755278145180954e-05,-0.4573886802266769,1.1570453305627072e-08,0.6729245031374964
PARTIAL_MALL,22,JPM,NN1,fixed,837,1.7521538060627698e-08,0.00013236894673837856,0.00010986285626811033,-2.279675698202355,1.1570453305627072e-08,1.514334624392497
PARTIAL_MALL,22,JPM,NN1_1,fixed,837,1.5630354655994346e-08,0.00012502141678926194,9.449365705041847e-05,-1.9256846141115673,1.1570453305627072e-08,1.3508852456448543
PARTIAL_MALL,22,JPM,NN2,fixed,837,2.1504920656881694e-08,0.00014664556132690037,0.00011997423862416387,-3.0252839348977822,1.1570453305627072e-08,1.8586065808176402
PARTIAL_MALL,22,JPM,NN2_1,fixed,837,2.2601737189475667e-08,0.00015033874147895367,0.00011806032161271911,-3.2305856906505053,1.1570453305627072e-08,1.9534011842460604
PARTIAL_MALL,22,JPM,NN3,fixed,837,1.9682537225841668e-08,0.00014029446612693483,0.00012105332231601678,-2.6841708071057075,1.1570453305627072e-08,1.7011033799574158
PARTIAL_MALL,22,JPM,NN3_1,fixed,837,1.6399494859038765e-08,0.00012806051248936482,0.00010509748651243171,-2.069652022891938,1.1570453305627072e-08,1.4173597547006371
PARTIAL_MALL,22,JPM,NN4,fixed,837,1.647786655498461e-08,0.0001283661425570801,0.00010964043893571667,-2.0843216110143454,1.1570453305627072e-08,1.424133188193319
PARTIAL_MALL,22,JPM,NN4_1,fixed,837,1.4433037246069495e-08,0.00012013757632843062,8.903369902268164e-05,-1.7015711373849447,1.1570453305627072e-08,1.2474046491376667
PARTIAL_MALL,22,JPM,PostLasso,rolling,837,5.1256633020264e-08,0.00022639927787045612,0.00017913049760775508,-8.594199613445006,1.1570453305627072e-08,4.429958936469352
PARTIAL_MALL,22,JPM,RandomForest,rolling,837,9.546298014423023e-09,9.77051585865507e-05,5.547786691461938e-05,-0.7868729044999698,1.1570453305627072e-08,0.8250582550452332
PARTIAL_MALL,22,JPM,Ridge,rolling,837,4.893871009454169e-08,0.00022122095310919733,0.0001753876880778778,-8.160331566958838,1.1570453305627072e-08,4.229627725193901
PARTIAL_MALL,22,JPM,SHAR,rolling,837,4.388318124859218e-08,0.00020948312879225423,0.00016362781396530866,-7.2140393499028885,1.1570453305627072e-08,3.792693344801834
PARTIAL_MALL,22,MSFT,AdaptiveLasso,rolling,838,9.502394471739983e-09,9.74802260550312e-05,7.310643927493396e-05,-0.4811300108795873,6.935257070660815e-09,1.3701574973967854
PARTIAL_MALL,22,MSFT,Bagging,rolling,838,5.5894008132692716e-09,7.476229539861167e-05,4.619311326455424e-05,0.12878492763182547,6.935257070660815e-09,0.8059399610311336
PARTIAL_MALL,22,MSFT,ElasticNet,rolling,838,7.012869970995864e-09,8.374288012121308e-05,6.465451038837597e-05,-0.09308997930247753,6.935257070660815e-09,1.0111910632214898
PARTIAL_MALL,22,MSFT,GradientBoosting,rolling,838,8.053890098069521e-09,8.974346827524285e-05,6.107188059192032e-05,-0.255352886480666,6.935257070660815e-09,1.161296548348729
PARTIAL_MALL,22,MSFT,HAR,rolling,838,6.935257070660815e-09,8.327819084646841e-05,5.346919236394026e-05,-0.08099252362859222,6.935257070660815e-09,1.0
PARTIAL_MALL,22,MSFT,HARQ,rolling,838,7.228295286285618e-09,8.501938182723759e-05,5.8408815776144445e-05,-0.12666813694766588,6.935257070660815e-09,1.042253403534886
PARTIAL_MALL,22,MSFT,HARX,rolling,838,7.402086945055767e-09,8.603538193705987e-05,5.862247944012033e-05,-0.15375689254611458,6.935257070660815e-09,1.0673125551999865
PARTIAL_MALL,22,MSFT,Lasso,rolling,838,8.37671431273014e-09,9.152439190035703e-05,7.261749969868358e-05,-0.30567121771754246,6.935257070660815e-09,1.207844817774286
PARTIAL_MALL,22,MSFT,LevHAR,rolling,837,7.416748349757398e-09,8.612054545668761e-05,5.8880878255924995e-05,-0.15488575447617348,6.935257070660815e-09,1.069426594312344
PARTIAL_MALL,22,MSFT,LogHAR,rolling,838,5.0727723009649214e-09,7.122339714563552e-05,4.6803636029105386e-05,0.20931136718616372,6.935257070660815e-09,0.7314469022965244
PARTIAL_MALL,22,MSFT,NN1,fixed,838,7.119359093272066e-09,8.437629461686539e-05,6.357028102329632e-05,-0.1096883467249814,6.935257070660815e-09,1.026545810881342
PARTIAL_MALL,22,MSFT,NN1_1,fixed,838,7.391521691667225e-09,8.597395938112437e-05,6.727332157334078e-05,-0.15211009563478273,6.935257070660815e-09,1.0657891432657356
PARTIAL_MALL,22,MSFT,NN2,fixed,838,7.427048674814484e-09,8.618032649517223e-05,6.513194926098385e-05,-0.15764765578258655,6.935257070660815e-09,1.070911806028671
PARTIAL_MALL,22,MSFT,NN2_1,fixed,838,8.488793100103547e-09,9.213464657827449e-05,7.109881861370795e-05,-0.323140841406123,6.935257070660815e-09,1.2240055435024713
PARTIAL_MALL,22,MSFT,NN3,fixed,838,6.951984743372485e-09,8.337856285264508e-05,6.0703639164609265e-05,-0.08359985151201244,6.935257070660815e-09,1.0024119758707195
PARTIAL_MALL,22,MSFT,NN3_1,fixed,838,7.73128269559069e-09,8.792771289866858e-05,6.750763441567501e-05,-0.20506834957111653,6.935257070660815e-09,1.114779541236822
PARTIAL_MALL,22,MSFT,NN4,fixed,838,7.657962857826942e-09,8.750978721164246e-05,6.369847927245103e-05,-0.19364004984859173,6.935257070660815e-09,1.1042074979777592
PARTIAL_MALL,22,MSFT,NN4_1,fixed,838,7.068451342748883e-09,8.407408246748151e-05,5.7847496895465716e-05,-0.10175339966395391,6.935257070660815e-09,1.019205383554063
PARTIAL_MALL,22,MSFT,PostLasso,rolling,838,7.541737378243245e-09,8.684317692394288e-05,6.020351357030772e-05,-0.17552408483027504,6.935257070660815e-09,1.087448857541
PARTIAL_MALL,22,MSFT,RandomForest,rolling,838,5.579487823616827e-09,7.46959692595044e-05,4.6659038974204325e-05,0.1303300567585356,6.935257070660815e-09,0.8045105995018573
PARTIAL_MALL,22,MSFT,Ridge,rolling,838,7.3743825821203735e-09,8.587422536547491e-05,5.9116400412826574e-05,-0.14943863744757624,6.935257070660815e-09,1.0633178420043363
PARTIAL_MALL,22,MSFT,SHAR,rolling,838,7.246980055646854e-09,8.512919625866823e-05,5.8530894592981646e-05,-0.12958051579381835,6.935257070660815e-09,1.0449475746623387
