date,ticker,ea,source,reported_date,fiscal_date_ending,reported_eps,estimated_eps,surprise,surprise_percentage,aligned_to_trading_day
2008-07-28,VZ,1,Alpha Vantage EARNINGS,2008-07-28,2008-06-30,0.67,0.64,0.03,4.6875,False
2008-10-27,VZ,1,Alpha Vantage EARNINGS,2008-10-27,2008-09-30,0.66,0.65,0.01,1.5385,False
2009-01-27,VZ,1,Alpha Vantage EARNINGS,2009-01-27,2008-12-31,0.61,0.62,-0.01,-1.6129,False
2009-04-27,VZ,1,Alpha Vantage EARNINGS,2009-04-27,2009-03-31,0.63,0.59,0.04,6.7797,False
2009-07-27,VZ,1,Alpha Vantage EARNINGS,2009-07-27,2009-06-30,0.63,0.63,0.0,0.0,False
2009-10-26,VZ,1,Alpha Vantage EARNINGS,2009-10-26,2009-09-30,0.6,0.59,0.01,1.6949,False
2010-01-26,VZ,1,Alpha Vantage EARNINGS,2010-01-26,2009-12-31,0.54,0.54,0.0,0.0,False
2010-04-22,VZ,1,Alpha Vantage EARNINGS,2010-04-22,2010-03-31,0.56,0.56,0.0,0.0,False
2010-07-23,VZ,1,Alpha Vantage EARNINGS,2010-07-23,2010-06-30,0.58,0.56,0.02,3.5714,False
2010-10-22,VZ,1,Alpha Vantage EARNINGS,2010-10-22,2010-09-30,0.56,0.54,0.02,3.7037,False
2011-01-25,VZ,1,Alpha Vantage EARNINGS,2011-01-25,2010-12-31,0.54,0.55,-0.01,-1.8182,False
2011-04-21,VZ,1,Alpha Vantage EARNINGS,2011-04-21,2011-03-31,0.51,0.5,0.01,2.0,False
2011-07-22,VZ,1,Alpha Vantage EARNINGS,2011-07-22,2011-06-30,0.57,0.55,0.02,3.6364,False
2011-10-21,VZ,1,Alpha Vantage EARNINGS,2011-10-21,2011-09-30,0.56,0.56,0.0,0.0,False
2012-01-24,VZ,1,Alpha Vantage EARNINGS,2012-01-24,2011-12-31,0.52,0.53,-0.01,-1.8868,False
2012-04-19,VZ,1,Alpha Vantage EARNINGS,2012-04-19,2012-03-31,0.59,0.57,0.02,3.5088,False
2012-07-19,VZ,1,Alpha Vantage EARNINGS,2012-07-19,2012-06-30,0.64,0.64,0.0,0.0,False
2012-10-18,VZ,1,Alpha Vantage EARNINGS,2012-10-18,2012-09-30,0.64,0.64,0.0,0.0,False
2013-01-22,VZ,1,Alpha Vantage EARNINGS,2013-01-22,2012-12-31,0.38,0.5,-0.12,-24.0,False
2013-04-18,VZ,1,Alpha Vantage EARNINGS,2013-04-18,2013-03-31,0.68,0.66,0.02,3.0303,False
2013-07-18,VZ,1,Alpha Vantage EARNINGS,2013-07-18,2013-06-30,0.73,0.73,0.0,0.0,False
2013-10-17,VZ,1,Alpha Vantage EARNINGS,2013-10-17,2013-09-30,0.77,0.74,0.03,4.0541,False
2014-01-21,VZ,1,Alpha Vantage EARNINGS,2014-01-21,2013-12-31,0.66,0.62,0.04,6.4516,False
2014-04-24,VZ,1,Alpha Vantage EARNINGS,2014-04-24,2014-03-31,0.84,0.86,-0.02,-2.3256,False
2014-07-22,VZ,1,Alpha Vantage EARNINGS,2014-07-22,2014-06-30,0.91,0.9,0.01,1.1111,False
