dataset,horizon,model,scheme,n_assets,avg_mse,avg_rmse,avg_mae,avg_rel_mse_vs_har,median_rel_mse_vs_har
PARTIAL_MALL,1,NN2,fixed,25,8.509706628238772e-08,0.0002273827899019,6.42231507422319e-05,1.3138487617008725,1.0806097722906305
PARTIAL_MALL,1,NN2_1,fixed,25,6.908775904859697e-08,0.00020920666632,6.145394165484164e-05,1.074729232695922,1.0349631248273312
PARTIAL_MALL,1,NN3,fixed,25,6.908802794005868e-08,0.0002095226916532,6.198290477447906e-05,1.082336521868209,1.045224064335907
PARTIAL_MALL,1,NN3_1,fixed,25,6.86759473337515e-08,0.0002086411349355,6.193627402309391e-05,1.0713209501766527,1.0511155811508033
PARTIAL_MALL,1,NN4,fixed,25,6.951904999883967e-08,0.0002109748946628,6.281702741228141e-05,1.105817119468286,1.0767763463732107
PARTIAL_MALL,1,NN4_1,fixed,25,6.944591535568358e-08,0.0002104629455228,6.260734361068734e-05,1.098172748632728,1.066239784772798
PARTIAL_MALL,1,PostLasso,rolling,25,7.385247347833741e-08,0.0002102456296906,6.521222812478299e-05,1.0291177581404145,0.9861614491374648
PARTIAL_MALL,1,RandomForest,rolling,25,6.542772645905614e-08,0.0001987638162737,5.394208014761342e-05,0.9234001692117076,0.9242416652388444
PARTIAL_MALL,1,Ridge,rolling,25,7.210956134825963e-08,0.000208441360869,6.534037730221858e-05,1.0149090092040849,0.9749882224745108
PARTIAL_MALL,1,SHAR,rolling,25,7.266019699217334e-08,0.000208442706022,6.474787552159531e-05,1.0109395898920308,0.9795130290628632
PARTIAL_MALL,5,AdaptiveLasso,rolling,25,2.4357597261298904e-08,0.0001339101748285,7.038147865989845e-05,1.1646392563828862,1.0667258003972484
PARTIAL_MALL,5,Bagging,rolling,25,2.1091038018929137e-08,0.0001250772460926,5.089438105630095e-05,1.011335671343926,0.9861495762833165
PARTIAL_MALL,5,ElasticNet,rolling,25,2.2457535117535264e-08,0.0001284051106011,6.781804507966084e-05,1.0623260508811596,0.9856328785694888
PARTIAL_MALL,5,GradientBoosting,rolling,25,2.219739465411257e-08,0.0001291710422263,6.19146871998748e-05,1.0910756441054963,1.0449174733612392
PARTIAL_MALL,5,HAR,rolling,25,2.4133957097530317e-08,0.0001284523084917,5.7617101434311194e-05,1.0,1.0
PARTIAL_MALL,5,HARQ,rolling,25,2.241817574957219e-08,0.0001306842615557,6.010543027210491e-05,1.1344207119390055,1.0895313340649868
PARTIAL_MALL,5,HARX,rolling,25,2.4696763974339038e-08,0.0001336190718319,6.295660534984954e-05,1.1398620053033972,1.0053764555896223
PARTIAL_MALL,5,Lasso,rolling,25,2.3235964647430095e-08,0.0001307436624118,6.914093788857992e-05,1.1078672104949474,1.015834417302332
PARTIAL_MALL,5,LevHAR,rolling,25,2.556219933869661e-08,0.000137322733127,6.535046006582606e-05,1.261272275539082,1.0093410380536916
PARTIAL_MALL,5,LogHAR,rolling,25,1.9034160772988462e-08,0.0001161716666384,4.72381082675347e-05,0.841836110400737,0.8305366397959975
PARTIAL_MALL,5,NN1,fixed,25,1.934256363737537e-08,0.0001194655367158,5.151421896456369e-05,0.9363266084501198,0.8866126015305464
PARTIAL_MALL,5,NN1_1,fixed,25,1.9696182148883423e-08,0.0001206571227655,5.164388991547709e-05,0.9564767192994572,0.8870642955468687
PARTIAL_MALL,5,NN2,fixed,25,2.0214168735330648e-08,0.0001235347726662,5.379252646213504e-05,1.0249860089179978,0.953026294197484
PARTIAL_MALL,5,NN2_1,fixed,25,2.2232514977549725e-08,0.0001259613552809,5.413537935391325e-05,1.022437304091713,0.9895970645920188
PARTIAL_MALL,5,NN3,fixed,25,2.0071253086674307e-08,0.0001230126490885,5.325317217221572e-05,1.0158664853538513,0.9829492026258314
PARTIAL_MALL,5,NN3_1,fixed,25,2.0028249673235858e-08,0.0001228502309118,5.319630079710423e-05,1.0095800900560672,0.941046752726042
PARTIAL_MALL,5,NN4,fixed,25,2.0207239659935873e-08,0.0001235578410976,5.391259530520824e-05,1.027001346367197,0.9969103417011882
PARTIAL_MALL,5,NN4_1,fixed,25,2.3371919527815703e-08,0.0001279992732462,5.4606834878666944e-05,1.0499526269495028,1.0002423709253194
PARTIAL_MALL,5,PostLasso,rolling,25,2.6030193966718876e-08,0.0001357218484326,6.37485947426023e-05,1.162043709800626,1.0160988980076089
PARTIAL_MALL,5,RandomForest,rolling,25,1.9284443343304695e-08,0.0001184957275597,4.9596037169984536e-05,0.8924826303916643,0.900968572465876
PARTIAL_MALL,5,Ridge,rolling,25,2.4737865242597965e-08,0.0001339463881869,6.380206851429309e-05,1.1518465244556055,1.0101365711787196
