dataset,horizon,ticker,model,scheme,n_test,mse,rmse,mae,r2_oos_vs_mean,har_mse,relative_mse_vs_har
MHAR,22,GS,RandomForest,rolling,818,1.571730772806476e-08,0.000125368687191279,6.428980475740523e-05,-2.183529444144966,1.066541330460975e-08,1.4736707597887002
MHAR,22,GS,Ridge,rolling,818,1.2592215414735943e-08,0.0001122150409469958,0.0001014194745637824,-1.5505442301831112,1.066541330460975e-08,1.1806589257345894
MHAR,22,GS,SHAR,rolling,818,1.063339358885388e-08,0.00010311834748895989,9.167383205544962e-05,-1.153786269696377,1.066541330460975e-08,0.9969977988811713
MHAR,22,HD,AdaptiveLasso,rolling,833,1.9963418990841224e-08,0.0001412919636456413,9.726811907665689e-05,-1.6268177374837083,1.475432371192016e-08,1.3530555097359416
MHAR,22,HD,Bagging,rolling,833,1.5981541699506066e-08,0.000126418122512186,5.646567385084356e-05,-1.102876126972932,1.475432371192016e-08,1.0831768376204478
MHAR,22,HD,ElasticNet,rolling,833,1.7694569370626915e-08,0.0001330209358357808,8.842265621356974e-05,-1.3282789737180245,1.475432371192016e-08,1.1992802730992882
MHAR,22,HD,GradientBoosting,rolling,833,2.870068678703526e-08,0.00016941277043669187,8.957954941827714e-05,-2.7764810308663295,1.475432371192016e-08,1.9452390599135152
MHAR,22,HD,HAR,rolling,833,1.475432371192016e-08,0.00012146737715090485,6.316951315287617e-05,-0.9413968743945698,1.475432371192016e-08,1.0
MHAR,22,HD,HARQ,rolling,833,1.1007967926613907e-08,0.00010491886354042302,5.693890092120701e-05,-0.4484455501608797,1.475432371192016e-08,0.7460842083680503
MHAR,22,HD,HARX,rolling,833,1.475432371192016e-08,0.00012146737715090485,6.316951315287617e-05,-0.9413968743945698,1.475432371192016e-08,1.0
MHAR,22,HD,Lasso,rolling,833,1.7526085724322743e-08,0.00013238612360939777,9.074331076321132e-05,-1.306109633346479,1.475432371192016e-08,1.1878610003766725
MHAR,22,HD,LevHAR,rolling,833,1.4171002571475847e-08,0.00011904202019234992,5.87611860116643e-05,-0.8646425709823473,1.475432371192016e-08,0.9604643932291493
MHAR,22,HD,LogHAR,rolling,833,1.0217343048798465e-08,0.00010108087380310117,5.172504835328679e-05,-0.3444138983834817,1.475432371192016e-08,0.6924982295558403
MHAR,22,HD,NN1,fixed,833,7.740182002896936e-09,8.797830416015608e-05,4.0329483419241635e-05,-0.01846519305584593,1.475432371192016e-08,0.5246043230462382
MHAR,22,HD,NN1_1,fixed,833,7.942990968393484e-09,8.912345913615273e-05,4.138745337840846e-05,-0.04515111234309144,1.475432371192016e-08,0.5383500540913485
MHAR,22,HD,NN2,fixed,833,1.009348377978162e-06,0.0010046633157322715,9.102959285334987e-05,-131.81163030189558,1.475432371192016e-08,68.41034517649221
MHAR,22,HD,NN2_1,fixed,833,7.957314571184059e-09,8.920378114846959e-05,4.166978613739871e-05,-0.04703583428837632,1.475432371192016e-08,0.5393208612303435
MHAR,22,HD,NN3,fixed,833,8.043538434723807e-09,8.968577610035945e-05,4.258009863334222e-05,-0.058381304432768566,1.475432371192016e-08,0.5451648338327669
MHAR,22,HD,NN3_1,fixed,833,7.7452034082664e-09,8.800683728135217e-05,4.0282620711158814e-05,-0.01912591738856939,1.475432371192016e-08,0.5249446575452981
MHAR,22,HD,NN4,fixed,833,7.953141248494964e-09,8.918038600777058e-05,4.196131575473171e-05,-0.046486701994505,1.475432371192016e-08,0.539038007012788
MHAR,22,HD,NN4_1,fixed,833,7.98393100854105e-09,8.935284555368704e-05,4.198267646621737e-05,-0.05053806653577064,1.475432371192016e-08,0.5411248366531877
MHAR,22,HD,PostLasso,rolling,833,1.4905143800579876e-08,0.00012208662416735044,6.628773822201845e-05,-0.9612420163635864,1.475432371192016e-08,1.0102220943232978
