dataset,horizon,model,scheme,n_assets,avg_mse,avg_rmse,avg_mae,avg_rel_mse_vs_har,median_rel_mse_vs_har
MHAR,5,Ridge,rolling,3,1.994729000412271e-08,0.00013964950559095855,7.629566399942868e-05,1.0146303984953928,1.0018909923897779
MHAR,5,SHAR,rolling,3,1.893512686610733e-08,0.00013588439902050196,7.117635503901434e-05,0.9585659287071189,0.9621411653185601
PARTIAL_MALL,1,AdaptiveLasso,rolling,3,4.457666163543162e-08,0.0002084548623672961,7.759120765528961e-05,1.0434414726072558,1.0911692903029333
PARTIAL_MALL,1,Bagging,rolling,3,4.296909728962896e-08,0.0002054956244156853,6.206304026778882e-05,1.0331180538553675,0.9473591413017413
PARTIAL_MALL,1,ElasticNet,rolling,3,4.423972242384571e-08,0.00020786978404519635,8.783530100246423e-05,1.0415619404291954,1.028852570600302
PARTIAL_MALL,1,GradientBoosting,rolling,3,4.02712994113834e-08,0.0001990983180159613,7.013170148592153e-05,0.9627951030823354,0.9205197274552681
PARTIAL_MALL,1,HAR,rolling,3,4.21309850237185e-08,0.00020343478553625549,6.988811913567877e-05,1.0,1.0
PARTIAL_MALL,1,HARQ,rolling,3,4.436911528152406e-08,0.0002083941772260289,7.293444008755433e-05,1.054318495064093,0.9633213436156246
PARTIAL_MALL,1,HARX,rolling,3,4.423094546379684e-08,0.00020813755409916312,8.085166142737067e-05,1.0482772436063514,0.9920435370950659
PARTIAL_MALL,1,Lasso,rolling,3,4.3799251378907336e-08,0.00020697987804709235,8.397856924405275e-05,1.031755718141744,1.0392855267167953
PARTIAL_MALL,1,LevHAR,rolling,3,4.619997336897764e-08,0.00021237012692270924,8.156290891180342e-05,1.0967676154170471,0.9879624539925753
PARTIAL_MALL,1,LogHAR,rolling,3,3.7505487824057824e-08,0.00019187824305322577,5.72117315561021e-05,0.889161833148572,0.8918660828736416
PARTIAL_MALL,1,NN1,fixed,3,4.234101732868492e-08,0.0002037489445893279,9.247680811262941e-05,1.0027444006566357,0.974139491728393
